"flight_id","origin_code","destination_code","travel_time","cost"
"FL000219","UAM","SOU","72","1443.45"
"FL000220","ALX","WUM","440","182.89"
"FL000221","GDZ","NLT","256","1395.39"
"FL000222","NLT","IQT","503","1004.59"
"FL000223","TSU","HDS","590","1325.82"
"FL000224","GOO","RKT","61","1288.79"
"FL000225","KNB","OLA","309","673.07"
"FL000226","KLL","NMI","493","1278.42"
"FL000227","ULX","IGE","368","1468.74"
"FL000228","KOT","EXT","596","860.75"
"FL000229","RVS","EXT","174","621.3"
"FL000230","LPI","DZA","244","425.99"
"FL000231","WDB","SOU","391","109.63"
"FL000232","RVS","IWJ","413","1022.52"
"FL000233","VGT","LFR","436","606.06"
"FL000234","YBH","HMA","50","549.4"
"FL000235","RKT","VGA","308","420.04"
"FL000236","YBH","CIH","443","672.4"
"FL000237","RBU","ROI","222","982.23"
"FL000238","HDS","NLT","50","379.67"
"FL000239","QDB","PDG","58","1171.34"
"FL000240","UPL","TSU","292","1375.24"
"FL000241","DEE","CFC","235","942.65"
"FL000242","OHO","ALX","65","1346.88"
"FL000243","YTP","CJF","285","217.13"
"FL000244","HBG","HDS","252","1249.98"
"FL000245","LGC","IWJ","462","77.28"
"FL000246","RLR","HCZ","315","567.46"
"FL000247","COH","RLR","272","1320.75"
"FL000248","LGC","OGG","443","959.97"
"FL000249","HEB","RIG","479","1035.86"
"FL000250","ULX","IGE","285","221.86"
"FL000251","CJF","IQT","490","202.04"
"FL000252","VGT","DZA","496","310.85"
"FL000253","SZJ","LFR","297","365.53"
"FL000254","SQN","HUX","358","1201.73"
"FL000255","HBG","OHO","180","997.75"
"FL000256","GSI","AIZ","366","144.8"
"FL000257","CFC","HEB","214","749.82"
"FL000258","UAX","GOO","251","368.88"
"FL000259","DXN","EMD","265","1391.07"
"FL000260","CPS","OCV","285","736.85"
"FL000261","PKC","UVL","109","227.67"
"FL000262","MDY","RET","338","593.21"
"FL000263","OLA","GDZ","196","728.18"
"FL000264","GUA","ANW","479","713.38"
"FL000265","TSU","ALX","158","222.21"
"FL000266","CCU","GSI","186","152.4"
"FL000267","YFB","UVL","67","719.55"
"FL000268","WUM","EMD","224","85.33"
"FL000269","RKT","OGG","112","199.02"
"FL000270","EXT","BFT","452","620.18"
"FL000271","HCZ","RIG","107","1401.24"
"FL000272","IQT","DZA","241","622.01"
"FL000273","RBU","SOU","88","1107.5"
"FL000274","GPT","MDY","531","342.72"
"FL000275","GDZ","NDK","206","184.63"
"FL000276","BFT","DEE","230","1107.77"
"FL000277","LWI","KNB","549","186.38"
"FL000278","ROI","GOT","272","613.28"
"FL000279","TUG","UPL","508","1010.97"
"FL000280","UAM","MDY","401","1382.12"
"FL000281","DPG","ROI","378","193.43"
"FL000282","YBH","CCU","509","401.25"
"FL000283","CFC","UAX","109","1491.34"
"FL000284","DXN","NMI","559","361.56"
"FL000285","IWJ","OCV","192","302.57"
"FL000286","TNJ","CEY","451","310.36"
"FL000287","VGA","GOO","443","588.2"
"FL000288","KDY","MBM","587","1008.48"
"FL000289","LSF","COH","156","1232.27"
"FL000290","BFT","GOK","137","163.22"
"FL000291","IQT","LWI","150","1117.03"
"FL000292","YBH","LSF","162","583.39"
"FL000293","CFC","CVM","78","1264.84"
"FL000294","NDK","CPS","554","951.73"
"FL000295","VGT","IQT","354","1309.83"
"FL000296","QDB","BFT","462","1043.96"
"FL000297","KRE","ULX","369","1212.24"
"FL000298","TKV","AKS","456","577.76"
"FL000299","MBM","LFR","461","537.55"
"FL000300","KLL","OHO","381","234.03"
"FL000301","KDY","NLT","309","1302.2"
"FL000302","MST","PDG","379","1410.98"
"FL000303","ULX","AMJ","542","123.47"
"FL000304","GOT","KIQ","152","1430.76"
"FL000305","VGT","RET","480","221.51"
"FL000306","YTP","LSF","555","1183.85"
"FL000307","DPG","HDS","388","1304.81"
"FL000308","MAB","AMJ","346","1388.81"
"FL000309","YFB","HUX","259","813.88"
"FL000310","OHO","DPG","338","1228.77"
"FL000311","RBU","NMI","236","1303.38"
"FL000312","MBM","GOO","420","1385.12"
"FL000313","OHO","CIH","274","880.34"
"FL000314","MBM","VQQ","206","160.31"
"FL000315","HUX","GOO","588","715.08"
"FL000316","PKC","SRP","164","1313.06"
"FL000317","WUM","AUP","169","416.21"
"FL000318","VGT","HLL","578","106.04"
"FL000319","KNB","GPT","82","138.68"
"FL000320","YBH","GPT","58","1065.34"
"FL000321","GUA","UAX","141","1461.59"
"FL000322","HDS","MDY","126","516.06"
"FL000323","KOT","KIQ","550","165.73"
"FL000324","KIQ","AKS","284","743.59"
"FL000325","YFB","GOK","307","676.77"
"FL000326","TNJ","MDY","510","607.34"
"FL000327","CCU","GOK","176","210.01"
"FL000328","TNJ","OCV","117","1195.78"
"FL000329","HUX","YFB","529","473.14"
"FL000330","GOO","DEE","190","1348.62"
"FL000331","IGE","CCU","369","1013.74"
"FL000332","LKZ","DZA","423","257.78"
"FL000333","KRG","CCU","172","521.05"
"FL000334","PET","CCU","428","833.55"
"FL000335","SQN","CIH","257","735.68"
"FL000336","SQN","EXT","219","1077.25"
"FL000337","AIZ","LKZ","402","735.88"
"FL000338","GOK","LPI","477","1152.92"
"FL000339","GDZ","OKJ","227","655.37"
"FL000340","ALX","DXN","188","1048.78"
"FL000341","RKT","SQN","239","650.9"
"FL000342","MST","UPL","84","1261.67"
"FL000343","PDG","GSI","154","1362.11"
"FL000344","GOT","CIH","491","143.93"
"FL000345","HMA","QDB","320","62.2"
"FL000346","CEY","MBM","539","939.26"
"FL000347","UPL","CPS","232","260.98"
"FL000348","CEY","HCZ","485","1378.53"
"FL000349","VGA","GOO","550","1489.86"
"FL000350","GOO","DZA","353","572.2"
"FL000351","EXT","HEB","232","1376.17"
"FL000352","SOU","QDB","86","333.03"
"FL000353","OGG","CEY","118","1310.97"
"FL000354","HLL","KNB","281","561.94"
"FL000355","DEX","SRP","376","1039.24"
"FL000356","CPS","RIG","359","1292.9"
"FL000357","WDB","HMA","250","1483.41"
"FL000358","DPG","UPL","248","603.25"
"FL000359","MDY","LPI","574","713.1"
"FL000360","QDB","AUP","413","1415.67"
"FL000361","CQA","LPI","248","1498.83"
"FL000362","LPI","UAX","176","461.79"
"FL000363","HCZ","YBH","480","1433.9"
"FL000364","OCM","QDB","535","228.35"
"FL000365","GOK","KDY","251","1019.97"
"FL000366","RET","KOT","215","1448.8"
"FL000367","DZA","KRG","349","835.4"
"FL000368","OCM","AUP","308","397.24"
"FL000369","KLL","ROI","203","527.3"
"FL000370","PET","CJF","69","189.61"
"FL000371","PET","MDY","59","652.14"
"FL000372","DEE","TKV","188","1263.15"
"FL000373","MBM","CQA","380","1494.82"
"FL000374","HUX","OCM","513","636.97"
"FL000375","SQN","OCV","253","1065.74"
"FL000376","AUP","KIQ","93","850.84"
"FL000377","QDB","ROI","373","864.1"
"FL000378","WDB","HLL","472","1144.36"
"FL000379","CVM","LSF","250","1476.19"
"FL000380","RIG","VQQ","426","205.98"
"FL000381","HMA","BFT","467","175.98"
"FL000382","EMD","KLL","165","1464.17"
"FL000383","KDY","AIZ","307","526.49"
"FL000384","GOK","RLR","108","662.87"
"FL000385","UVL","CPS","341","657.85"
"FL000386","RBU","GOO","203","831.29"
"FL000387","CVM","RBU","252","92.95"
"FL000388","SOU","RBU","302","927.5"
"FL000389","HDS","HCZ","277","790.11"
"FL000390","VGA","TNJ","555","1210.32"
"FL000391","HUX","CJF","87","612.18"
"FL000392","DEX","TKV","328","459"
"FL000393","KIQ","KRE","460","722.99"
"FL000394","KRE","HCZ","181","898.33"
"FL000395","GPT","UAM","298","1183.69"
"FL000396","HDS","LFR","64","958.28"
"FL000397","HDS","GUA","390","1455.12"
"FL000398","UAX","IWJ","533","391.46"
"FL000399","RKT","SRP","588","404.19"
"FL000400","CVM","DZA","229","320.49"
"FL000401","RLR","SQN","447","1485.72"
"FL000402","AKS","TNJ","402","681.33"
"FL000403","RVS","YTP","225","513.46"
"FL000404","RKT","PDG","96","409.69"
"FL000405","AMJ","ULX","423","542.05"
"FL000406","YFB","WDB","238","1056.21"
"FL000407","KLL","TCC","546","385.02"
"FL000408","KIQ","TNJ","578","463.71"
"FL000409","CFC","HCZ","289","936.96"
"FL000410","CPS","EXT","329","1069.61"
"FL000411","UAM","LFR","568","194.08"
"FL000412","HMA","YBH","422","666.08"
"FL000413","NMI","SRP","410","305.95"
"FL000414","UAM","OHO","244","1211.37"
"FL000415","ALX","WUM","556","915.71"
"FL000416","IGE","LSF","122","89.63"
"FL000417","QDB","EXT","279","457.99"
"FL000418","GOO","KDY","474","832.24"
"FL000419","RIG","AUP","105","971.2"
"FL000420","IWJ","KNB","272","789.14"
"FL000421","YTP","KDY","370","862.58"
"FL000422","RLR","ANW","77","1349.95"
"FL000423","VGT","NMI","523","692.49"
"FL000424","LKZ","VGT","378","1225.93"
"FL000425","NDK","UAX","165","404.39"
"FL000426","LPI","HBG","446","285.77"
"FL000427","LMC","LKZ","173","410.66"
"FL000428","DPG","MAB","155","768.64"
"FL000429","CVM","LSF","465","953.46"
"FL000430","YTP","AMJ","418","186.07"
"FL000431","GDZ","PKC","245","143.69"
"FL000432","CVM","GSI","273","90.93"
"FL000433","COH","KIQ","368","1038.95"
"FL000434","WUM","AIZ","247","685.82"
"FL000435","KRG","IQT","375","387.97"
"FL000436","RKT","UPL","48","335.09"
"FL000437","TKV","OLA","498","1086.12"
"FL000438","AIZ","AUP","588","736.65"
"FL000439","GOK","LKZ","185","946.89"
"FL000440","EXT","LWI","341","967.83"
"FL000441","PET","DEX","525","909.93"
"FL000442","LPI","TCC","297","713.18"
"FL000443","EXT","MDY","524","641.98"
"FL000444","GDZ","TKV","339","306.99"
"FL000445","TCC","AIZ","388","425.7"
"FL000446","TCC","GOO","523","634.59"
"FL000447","MDY","AKS","284","1368.89"
"FL000448","VGT","ALX","262","194.69"
"FL000449","CFC","LMC","332","560.67"
"FL000450","SOU","LSF","71","1386.48"
"FL000451","VGT","OLA","414","1269.12"
"FL000452","AKS","OKJ","313","1220.28"
"FL000453","CCU","KOT","98","1318.49"
"FL000454","EXT","HCZ","108","78.34"
"FL000455","RLR","BFT","194","106.42"
"FL000456","KOT","WDB","343","493"
"FL000457","RIG","SZJ","328","94.16"
"FL000458","UAX","GPT","168","207.6"
"FL000459","LKZ","GOO","233","281.71"
"FL000460","WUM","RVS","201","1136.52"
"FL000461","OCM","YTP","407","805.44"
"FL000462","EXT","CJF","517","785.92"
"FL000463","OHO","KDY","127","81.59"
"FL000464","YTP","COH","503","582.76"
"FL000465","DZA","RLR","80","720.71"
"FL000466","QDB","LSF","523","1491.47"
"FL000467","KRG","NLT","568","1442.2"
"FL000468","AUP","MDY","147","811.22"
"FL000469","HBG","BFT","175","1071.73"
"FL000470","NMI","LSF","446","1349.62"
"FL000471","DXN","IQT","147","1122.63"
"FL000472","KRE","IGE","525","1453.29"
"FL000473","MDY","HLL","106","1404.4"
"FL000474","GOT","DXN","459","1345.62"
"FL000475","AUP","ROI","470","1061.55"
"FL000476","HLL","DPG","337","1022.35"
"FL000477","KIQ","CVM","385","590.28"
"FL000478","PDG","LKZ","441","775.09"
"FL000479","CVM","AIZ","203","717.73"
"FL000480","UVL","LKZ","66","989.26"
"FL000481","KDY","AUP","395","501.88"
"FL000482","MBM","KNB","510","395.53"
"FL000483","PET","RLR","449","1487.86"
"FL000484","NMI","RVS","168","468.94"
"FL000485","CFC","TCC","288","533.83"
"FL000486","YTP","DEX","577","944.56"
"FL000487","OCM","TCC","537","476.12"
"FL000488","LWI","RBU","388","233.1"
"FL000489","DEX","GOO","188","375.31"
"FL000490","TKV","EXT","483","605.43"
"FL000491","NMI","CIH","264","1100.21"
"FL000492","TSU","CCU","570","61.32"
"FL000493","YBH","PET","425","1082.54"
"FL000494","MST","OHO","124","672.52"
"FL000495","RLR","IWJ","569","522.59"
"FL000496","RLR","IQT","423","1319.24"
"FL000497","COH","PKC","500","813.61"
"FL000498","RVS","HLL","82","619.37"
"FL000499","WDB","AKS","515","114.74"
"FL000500","UPL","UVL","470","1081.16"
